,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
IPSCG_E3_P5_IP_k27ac_J19,0.010502655,0.006433811,-0.004285142,0.003535051,0.0156637,0.0027543232,-0.001270216,-0.0066695064,0.0032053739,-0.0076931864,-0.0052807033,-0.0033468846,-0.0033584647,0.0008140076,-0.0009252615,-0.0005549565
IPSCG_E3_P5_IP_k27ac_N17,0.0076040775,0.0054135956,-0.004133716,0.0016635358,0.013242395,0.0016286075,6.394088e-05,-0.0049768165,-0.0016955957,-0.0018577799,0.001657702,-9.445101e-05,0.00012359023,0.006211517,0.0022366866,0.00010851771
IPSCG_E3_P5_IP_k27ac_B23,0.010511003,0.008672889,-0.00206317,0.0030606873,0.009966736,0.0012193993,0.0005398467,-0.004644178,0.0004509017,-0.001170177,-0.0007785931,0.0023718039,-0.0053638685,-0.005228387,0.0032257512,-0.004091963
IPSCG_E3_P5_IP_k27ac_B8,0.010635089,0.006680589,-0.0015301779,0.0029216595,0.0130061265,-6.889552e-05,0.00094304606,-0.00368575,0.0016049966,0.00090133026,-0.00014519691,1.3291836e-05,-0.0018909834,0.0031745974,0.0044775307,-0.0045673624
IPSCG_E3_P5_IP_k27ac_B1,0.006587606,0.002377715,-0.003411077,0.0023895018,0.018609485,-0.003487952,-0.0012261681,-0.000392735,-5.1915646e-05,-0.0017633773,-0.0050599948,-0.0022930615,-0.0014258958,0.0074394722,0.0004261434,-0.0031663775
IPSCG_E3_P5_IP_k27ac_B13,0.008813892,0.009052169,-0.0024454296,-0.00020807236,0.012047441,0.0010984465,0.0031954162,-0.003015399,0.0003728196,-0.00012861565,0.0062118694,0.0015855413,-0.0017787702,0.007174218,0.004671,-0.0007266253
IPSCG_E3_P5_IP_k27ac_J4,0.00855666,0.005806837,-0.005895138,0.0057913773,0.015694575,0.002626948,0.0016183071,-0.0030398965,0.0016968846,-0.003656447,-0.003114827,-0.0037147012,-0.0044554733,0.001963267,0.0008541569,-0.0016679391
IPSCG_E3_P5_IP_k27ac_K16,0.014759775,0.003090728,0.0020806566,0.0023837164,0.013961377,0.0027977005,0.0062174443,-0.0031239018,-0.00014643371,9.6574426e-05,-0.00064810365,-0.001197096,-0.0038974192,0.0008087633,0.0035761371,-0.004973389
IPSCG_E3_P5_IP_k27ac_K2,0.012772493,0.0042216815,-0.0054101795,0.0023696981,0.014863669,0.0007714778,0.004524326,-0.0043291003,-1.6197562e-05,-0.002840925,0.0028392598,-0.001380818,-0.002555374,0.00081846304,0.00043460727,-0.0020387694
IPSCG_E3_P5_IP_k27ac_K20,0.012296062,0.0025202967,-0.0053950474,-0.0009997822,0.014690485,0.0013815612,0.0062601864,-0.003332518,-0.0011922121,0.0008800365,0.0005703345,-0.0018965062,-0.0022022165,0.0028742943,0.0020424724,-0.0027561039
IPSCG_E3_P5_IP_k27ac_B16,0.011860911,0.0062542595,0.001134038,0.0032646284,0.013434243,-0.0013428107,0.0024087764,-0.002090998,-0.0018942133,-0.0009383224,0.0047880784,0.0004205946,-0.0018724427,0.0009894874,0.004742287,-0.003036417
IPSCG_E3_P5_IP_k27ac_K24,0.012480553,0.0054604076,-0.0022422373,0.0033345632,0.012289883,0.00087755173,0.006336199,-0.0025489926,0.0005516559,0.0017381273,0.00037571043,-0.0017750431,-0.0020241067,0.00038011372,0.0047330335,-0.0030864328
IPSCG_E3_P5_IP_k27ac_A15,0.0061269775,0.0063035972,-0.0025756508,0.007711407,0.010383882,0.0046581402,-0.0026931316,-0.0059156194,-0.00464274,-0.001915887,0.0022327527,0.0034572016,-0.0036145952,0.0048236893,0.004302554,0.0016486496
